,uczelnia,kierunek
0,Politechnika Łódzka,Advanced Biobased and Bioinspired Materials
1,Politechnika Łódzka,aktuariat i analiza finansowa
2,Politechnika Łódzka,analityka chemiczna
3,Politechnika Łódzka,architektura
4,Politechnika Łódzka,architektura (język angielski)
5,Politechnika Łódzka,automatyka i robotyka
6,Politechnika Łódzka,automatyka i sterowanie robotów
7,Politechnika Łódzka,Biomedical Engineering and Technologies
8,Politechnika Łódzka,biotechnologia
9,Politechnika Łódzka,budownictwo
10,Politechnika Łódzka,"Business, Society and Technology"
11,Politechnika Łódzka,"Business, Society and Technology"
12,Politechnika Łódzka,Business Studies
13,Politechnika Łódzka,chemia
14,Politechnika Łódzka,chemia budowlana
15,Politechnika Łódzka,Computer Science
16,Politechnika Łódzka,ekotechnologie i bioprocesy
17,Politechnika Łódzka,Electronic and Telecommunication Engineering
18,Politechnika Łódzka,elektronika i telekomunikacja
19,Politechnika Łódzka,elektrotechnika
20,Politechnika Łódzka,energetyka
21,Politechnika Łódzka,fizyka techniczna
22,Politechnika Łódzka,Industrial Biotechnology
23,Politechnika Łódzka,Information Technology
24,Politechnika Łódzka,informatyka
25,Politechnika Łódzka,informatyka stosowana
26,Politechnika Łódzka,informatyka w ochronie środowiska
27,Politechnika Łódzka,inżynieria bezpieczeństwa pracy
28,Politechnika Łódzka,inżynieria biomedyczna
29,Politechnika Łódzka,inżynieria chemiczna i biochemiczna
30,Politechnika Łódzka,inżynieria materiałowa
31,Politechnika Łódzka,inżynieria ochrony środowiska
32,Politechnika Łódzka,inżynieria środowiska w budownictwie
33,Politechnika Łódzka,inżynieria wzornictwa przemysłowego
34,Politechnika Łódzka,logistyka
35,Politechnika Łódzka,marketing w przemyśle
36,Politechnika Łódzka,matematyka stosowana
37,Politechnika Łódzka,Mathematical Methods in Data Analysis 
38,Politechnika Łódzka,Mechanical Engineering
39,Politechnika Łódzka,mechanika i budowa maszyn
40,Politechnika Łódzka,mechatronika
41,Politechnika Łódzka,menedżer żywności i żywienia
42,Politechnika Łódzka,Modelling and Data Science
43,Politechnika Łódzka,nanotechnologia
44,Politechnika Łódzka,papiernictwo i poligrafia
45,Politechnika Łódzka,planowanie przestrzenne
46,Politechnika Łódzka,systemy sterowania inteligentnymi budynkami
47,Politechnika Łódzka,technologia chemiczna
48,Politechnika Łódzka,technologia żywności i żywienie człowieka
49,Politechnika Łódzka,transport
50,Politechnika Łódzka,włókiennictwo i przemysł mody
51,Politechnika Łódzka,włókiennictwo i przemysł mody (język angielski)
52,Politechnika Łódzka,wzornictwo
53,Politechnika Łódzka,zarządzanie
54,Politechnika Łódzka,zarządzanie i inżynieria produkcji
55,Uniwersytet Jagielloński,Biochemia
